Rel Time	DR%, 0.0125 GG+0.0125 PEG	DR%, 0.025 GG + 0.025 PEG	DR%, 0.05 GG    + 0.05 PEG	DR%, 0.01 GG+ 0.09 PEG	DR%, 0.03 GG + 0.07 PEG					round		
	c1	c2	c3	c4	c5			 C1	C2	C3	C4	C5
0	14.93007131	17.11556923	19.64178483	17.86128915	20.0777515			14.93	17.116	19.642	17.861	20.078
60	8.604019764	11.43220858	12.70712688	10.48433827	14.17098847			8.604	11.432	12.707	10.484	14.171
120	6.226488303	9.475870496	10.37508348	7.709100903	11.1946162			6.226	9.476	10.375	7.709	11.195
180	5.389598047	8.374552962	8.975147673	6.728988832	9.851172423			5.39	8.375	8.975	6.729	9.851
240	4.242117118	6.847520183	7.870533358	5.103098342	8.263224082			4.242	6.848	7.871	5.103	8.263
300	3.127270409	6.053820466	6.894910061	3.967866995	7.679698042			3.127	6.054	6.895	3.968	7.68
360	2.509435245	5.219314913	5.976161686	3.266049387	6.734786421			2.509	5.219	5.976	3.266	6.735
420	1.979890367	5.016210663	5.804849248	2.794545447	6.692881193			1.98	5.016	5.805	2.795	6.693
480	1.665267381	5.067024776	5.593350809	2.808873015	6.605936998			1.665	5.067	5.593	2.809	6.606
540	1.903235102	5.138420762	5.588180769	3.046660586	6.647276252			1.903	5.138	5.588	3.047	6.647
600	1.050291429	4.807690845	5.190076039	2.578682685	6.032743465			1.05	4.808	5.19	2.579	6.033
660	1.226579102	4.244584903	4.764140762	1.998576545	5.648408056			1.227	4.245	4.764	1.999	5.648
720	0.798578625	4.224835181	4.583617622	1.850208161	5.639094417			0.799	4.225	4.584	1.85	5.639
780	0.701238518	4.274426899	4.624790318	1.763091085	5.34207849			0.701	4.274	4.625	1.763	5.342
840	0.043100656	3.585534609	3.883681848	1.135911937	4.833769467			0.043	3.586	3.884	1.136	4.834
900	-0.294942013	3.720430659	4.138557984	1.08243581	4.563712659			-0.295	3.72	4.139	1.082	4.564
960	-0.531606134	3.386205037	3.694205096	0.830248268	4.822284018			-0.532	3.386	3.694	0.83	4.822
1020	-0.076245716	3.641664454	4.123840983	0.721936531	4.896044486			-0.076	3.642	4.124	0.722	4.896
1080	-0.026949043	3.340903496	3.462217407	0.762766828	4.535805754			-0.027	3.341	3.462	0.763	4.536
1160	-0.087335746	3.236944907	3.834082511	0.637299928	4.831025673			-0.087	3.237	3.834	0.637	4.831
1220	-0.144591949	3.758801927	3.820621479	0.516496296	4.554074965			-0.145	3.759	3.821	0.516	4.554
1280	-0.732910252	3.462714956	3.215573433	0.049814844	4.539645373			-0.733	3.463	3.216	0.05	4.54
1340	-0.874003456	3.318238859	3.06229743	-0.249353287	4.045660538			-0.874	3.318	3.062	-0.249	4.046
1400	-0.631421898	3.21368263	3.194487237	0.206485842	3.931789458			-0.631	3.214	3.194	0.206	3.932
1460	-1.353341284	2.817479461	2.972865562	-0.700466773	3.793278884			-1.353	2.817	2.973	-0.7	3.793
1520	-1.085679459	2.786605356	2.795327152	-0.621739526	3.606155939			-1.086	2.787	2.795	-0.622	3.606
1580	-1.436037211	2.294760478	2.79627316	-0.761143876	3.61898687			-1.436	2.295	2.796	-0.761	3.619
1640	-0.640222262	3.093608037	3.046667276	-0.456836385	4.271206596			-0.64	3.094	3.047	-0.457	4.271
1700	-1.059226575	3.012067981	2.958368882	-0.361366652	3.79141633			-1.059	3.012	2.958	-0.361	3.791
1800	-1.518572514	2.689087778	2.734216757	-1.19879139	3.644958335			-1.519	2.689	2.734	-1.199	3.645
