Rel Time	DR%,2000,,0.025%	DR%,2000,0.05%	DR%,2000,0.1%   (1)	DR%,2000,0.1%(2)	DR%,2000,0.1%(4)			Round				
t,sec	C1	C2	C3	C4	C4		C1	C2	C3	C4	C5	
0	8.548023656	8.225744001	10.79697051	8.33756787	7.849465646		8.548	8.226	10.797	8.338	7.849	
60	4.928199157	7.339859536	9.209728602	6.085434884	7.12505181		4.928	7.34	9.21	6.085	7.125	
120	5.32940074	7.606886911	8.618433045	5.887392819	7.610776392		5.329	7.607	8.618	5.887	7.611	
180	6.008006536	7.934000318	9.62159082	6.704575528	8.607921552		6.008	7.934	9.622	6.705	8.608	
240	5.295755671	7.25758691	7.995342469	5.86962313	7.191124779		5.296	7.258	7.995	5.87	7.191	
300	4.921164546	7.695490786	7.781873008	5.586181467	7.841116364		4.921	7.695	7.782	5.586	7.841	
360	5.561276086	8.627812823	8.098238703	5.678856957	8.855282667		5.561	8.628	8.098	5.679	8.855	
420	5.265685324	8.896761464	8.294632123	5.733630577	8.971519987		5.266	8.897	8.295	5.734	8.972	
480	5.251189881	8.635868293	8.147905721	5.856601757	8.905045883		5.251	8.636	8.148	5.857	8.905	
540	5.593325062	8.69595244	8.694561158	5.946241509	8.855748797		5.593	8.696	8.695	5.946	8.856	
600	5.924042754	8.978855232	9.061552324	6.28160875	8.869648792		5.924	8.979	9.062	6.282	8.87	
660	5.975621928	9.040048193	8.797409148	5.79199178	8.581471037		5.976	9.04	8.797	5.792	8.581	
720	6.030943452	9.462675352	8.695597991	6.734733436	9.469260068		6.031	9.463	8.696	6.735	9.469	
780	5.901770819	9.729385848	8.484770552	7.053124566	9.619306088		5.902	9.729	8.485	7.053	9.619	
840	5.663664043	9.278272047	8.529338796	6.997638075	9.368791774		5.664	9.278	8.529	6.998	9.369	
900	5.748066928	8.695516834	8.287377862	6.974125771	8.701947721		5.748	8.696	8.287	6.974	8.702	
960	5.001241303	8.524276952	7.9726306	7.040392358	8.639777317		5.001	8.524	7.973	7.04	8.64	
1020	5.04444051	8.990819696	8.173083369	6.931757046	8.64174125		5.044	8.991	8.173	6.932	8.642	
1080	4.662887563	9.181985946	8.453389874	7.117315045	8.950657209		4.663	9.182	8.453	7.117	8.951	
1140	5.197829149	9.428574675	8.484973482	7.009471132	8.960595999		5.198	9.429	8.485	7.009	8.961	
1200	4.854251661	9.040877827	8.401592071	6.49610752	8.547593567		4.854	9.041	8.402	6.496	8.548	
1260	4.861931575	8.697420377	8.446174488	6.491222575	8.964414562		4.862	8.697	8.446	6.491	8.964	
1320	4.697197828	8.868298531	8.264835713	6.58118608	8.780745834		4.697	8.868	8.265	6.581	8.781	
1380	5.426809269	9.310269368	9.06901797	7.175156495	9.442277131		5.427	9.31	9.069	7.175	9.442	
1420	5.521077506	9.034311576	8.954237423	7.187496764	8.8532601		5.521	9.034	8.954	7.187	8.853	
1480	5.008040846	8.913824762	8.874421932	7.20512119	9.264412919		5.008	8.914	8.874	7.205	9.264	
1520	5.277783493	9.521187193	8.901596723	7.560335075	9.301551146		5.278	9.521	8.902	7.56	9.302	
1580	5.052514783	8.195670794	8.09277728	7.011540268	9.16335148		5.053	8.196	8.093	7.012	9.163	
1640	5.366865462	8.446785562	8.401136799	6.811518652	8.695137193		5.367	8.447	8.401	6.812	8.695	
1700	5.550042246	8.809956377	8.777085223	7.031105156	9.249455887		5.55	8.81	8.777	7.031	9.249	
1760	4.977244004	8.554136515	7.773570836	6.319060072	8.537804712		4.977	8.554	7.774	6.319	8.538	
1820	4.640657915	8.277538096	7.855504981	5.850693757	8.348272753		4.641	8.278	7.856	5.851	8.348	
