Log S.R.	C1	C2	C3	C4	C5				
4.143	0.145	0.123	0.098	0.103	0.125				Note; S.R. = Shear Rate
4.072	0.147	0.126	0.097	0.104	0.127				
4.097	0.147	0.124	0.094	0.103	0.127				C1, C2, C3, C4, C5 are concentrations of the solutions
4.121	0.147	0.124	0.098	0.103	0.126				
3.883	0.148	0.134	0.108	0.11	0.158				
4.046	0.148	0.127	0.099	0.104	0.128				
3.988	0.151	0.131	0.103	0.108	0.147				
4.018	0.151	0.129	0.099	0.106	0.128				
3.956	0.154	0.131	0.107	0.108	0.153				
3.921	0.154	0.132	0.108	0.11	0.156				
3.796	0.155	0.138	0.113	0.115	0.161				
3.842	0.157	0.136	0.112	0.113	0.16				
3.745	0.159	0.138	0.116	0.117	0.168				
3.541	0.159	0.152	0.119	0.122	0.165				
3.143	0.16	0.171	0.138	0.144	0.22				
3.687	0.161	0.141	0.118	0.118	0.167				
3.018	0.161	0.184	0.133	0.155	0.207				
2.842	0.162	0.193	0.125	0.17	0.276				
3.62	0.163	0.141	0.116	0.123	0.166				
3.319	0.164	0.165	0.118	0.135	0.215				
3.444	0.164	0.158	0.119	0.127	0.179				
2.541	0.185	0.207	0.135	0.261	0.332				
